일시,지점,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
2020-03-09 07:45:00,131,4.279999999999999,0.0,301.9266666666666,0.49333333333333335,1009.8999999999999,1017.0000000000001,72.85333333333331,0.168,254.93333333333334
2020-03-09 08:00:00,131,4.92,0.0,292.97999999999996,0.44000000000000006,1010.0600000000002,1017.1600000000002,70.27999999999999,0.2926666666666667,1127.7333333333333
2020-03-09 08:15:00,131,5.686666666666667,0.0,276.1133333333334,0.49999999999999994,1010.2599999999998,1017.3599999999999,66.52,0.44,2027.4666666666667
2020-03-09 08:30:00,131,6.426666666666667,0.0,97.76000000000002,0.8466666666666666,1010.3199999999998,1017.3333333333331,63.433333333333344,0.6513333333333332,2927.5333333333333
2020-03-09 08:45:00,131,6.819999999999999,0.0,45.28666666666666,2.2133333333333334,1010.4133333333332,1017.4133333333332,60.01333333333334,0.9113333333333334,3827.5333333333333
2020-03-09 09:00:00,131,7.013333333333332,0.0,51.779999999999994,2.4133333333333336,1010.4466666666666,1017.4466666666666,59.00666666666667,1.2140000000000002,4727.6
2020-03-09 09:15:00,131,7.8,0.0,45.35333333333333,1.7466666666666666,1010.3599999999998,1017.3599999999998,58.00000000000001,1.557333333333333,5627.466666666666
2020-03-09 09:30:00,131,8.299999999999999,0.0,145.79999999999998,1.1733333333333333,1010.3533333333331,1017.3533333333331,55.73333333333333,1.8966666666666667,6527.533333333334
2020-03-09 09:45:00,131,8.873333333333335,0.0,143.42000000000002,1.2933333333333332,1010.246666666667,1017.246666666667,53.98,2.306,7427.6
2020-03-09 10:00:00,131,9.32,NaN,105.05999999999999,1.1400000000000001,1010.0333333333333,1016.9866666666665,53.64666666666667,2.736,8327.533333333333
2020-03-09 10:15:00,131,10.046666666666669,NaN,267.40666666666664,0.7266666666666666,1009.9933333333333,1016.933333333333,52.17999999999999,3.1879999999999997,9227.6
2020-03-09 10:30:00,131,10.626666666666667,NaN,251.64666666666668,0.7333333333333332,1009.7400000000002,1016.64,51.03333333333334,3.6,10127.533333333333
2020-03-09 10:45:00,131,11.566666666666666,NaN,211.02,0.9800000000000001,1009.4799999999999,1016.3799999999997,50.153333333333336,4.048666666666667,11027.466666666667
2020-03-09 11:00:00,131,12.333333333333337,NaN,242.15333333333334,1.04,1009.4399999999998,1016.3399999999998,47.693333333333335,4.581999999999999,11927.533333333333
2020-03-09 11:15:00,131,12.66,NaN,270.5133333333334,1.0399999999999998,1009.3399999999997,1016.2266666666669,46.82,5.098000000000001,12827.666666666666
2020-03-09 11:30:00,131,13.67333333333333,NaN,208.08666666666667,1.0866666666666667,1009.0399999999998,1015.8400000000001,45.073333333333345,5.6640000000000015,13727.533333333333
2020-03-09 11:45:00,131,14.140000000000002,NaN,235.1333333333333,0.9400000000000001,1008.5733333333334,1015.3733333333332,43.50000000000001,6.247333333333334,14627.466666666667
2020-03-09 12:00:00,131,14.593333333333334,NaN,140.69999999999996,1.2933333333333334,1008.2266666666669,1015.0266666666666,42.093333333333334,6.8500000000000005,15527.733333333334
2020-03-09 12:15:00,131,15.18,NaN,74.29333333333332,1.38,1007.8799999999997,1014.6800000000001,40.84,7.470666666666668,16427.666666666668
2020-03-09 12:30:00,131,15.139999999999999,NaN,119.96,1.2933333333333334,1007.5466666666667,1014.3466666666666,40.21999999999999,8.102666666666666,17327.733333333334
2020-03-09 12:45:00,131,15.633333333333333,NaN,227.88000000000002,1.0,1007.3066666666667,1014.1066666666667,38.86666666666666,8.674000000000001,18227.466666666667
2020-03-09 13:00:00,131,15.853333333333332,NaN,90.96000000000001,1.4466666666666668,1006.8666666666667,1013.6666666666666,36.986666666666665,9.108,19127.733333333334
2020-03-09 13:15:00,131,15.733333333333333,NaN,80.64666666666666,1.0733333333333335,1006.4799999999998,1013.2800000000003,35.54666666666667,9.481333333333334,19633.2
2020-03-09 13:30:00,131,15.853333333333335,NaN,115.84666666666665,0.7866666666666666,1006.0933333333334,1012.8866666666665,35.45333333333334,9.780666666666667,19635.0
2020-03-09 13:45:00,131,15.92666666666667,NaN,270.23333333333335,0.9733333333333334,1005.7266666666668,1012.5266666666666,34.95333333333333,10.028666666666663,19635.0
2020-03-09 14:00:00,131,15.913333333333334,NaN,273.8933333333333,0.9066666666666665,1005.3066666666668,1012.1066666666667,34.74,10.26533333333333,19635.0
2020-03-09 14:15:00,131,16.026666666666664,NaN,248.35333333333335,1.0066666666666668,1005.1866666666668,1011.9466666666665,33.61333333333334,10.511333333333331,19689.866666666665
2020-03-09 14:30:00,131,16.39333333333333,NaN,189.22666666666672,0.9400000000000001,1004.8599999999998,1011.56,31.986666666666665,10.862,20399.4
2020-03-09 14:45:00,131,16.386666666666667,NaN,259.0666666666667,1.16,1004.4933333333332,1011.1933333333334,31.360000000000003,11.258666666666667,21299.666666666668
2020-03-09 15:00:00,131,16.71333333333333,NaN,204.08666666666664,1.4733333333333336,1004.353333333333,1011.0533333333334,31.89333333333333,11.598,22199.666666666668
2020-03-09 15:15:00,131,16.473333333333336,NaN,177.42666666666665,1.4266666666666667,1004.2066666666668,1010.9066666666664,32.08,11.891999999999998,22998.466666666667
2020-03-09 15:30:00,131,16.380000000000006,NaN,255.1266666666667,1.44,1004.1733333333336,1010.8733333333331,32.260000000000005,12.112,23123.0
2020-03-09 15:45:00,131,16.44666666666667,NaN,229.41333333333336,0.9133333333333332,1004.02,1010.7200000000004,32.559999999999995,12.294666666666664,23123.0
2020-03-09 16:00:00,131,16.293333333333337,NaN,186.7666666666667,1.16,1003.9466666666666,1010.6466666666671,32.63333333333333,12.455333333333334,23123.0
2020-03-09 16:15:00,131,16.18666666666666,NaN,186.85999999999999,1.5066666666666668,1004.106666666667,1010.8066666666666,32.793333333333344,12.589333333333327,23123.0
2020-03-09 16:30:00,131,16.106666666666666,NaN,168.63333333333333,1.66,1004.1666666666667,1010.8666666666663,33.71333333333333,12.695999999999998,23123.0
